instance_id,p,runs,converged,approx_ratio_median,approx_ratio_q1,approx_ratio_q3,p_opt_exact_median,p_opt_exact_q1,p_opt_exact_q3
n12_d50_s17,1,20,20,0.6812391984803836,0.6722689075630253,0.6890017988275949,0.0004832901547915285,0.00023979748934879844,0.00048828125
n12_d50_s17,2,20,20,0.6858712551804407,0.6722689075630253,0.7027382643554211,0.0004882812499999998,0.00032165722938714387,0.0005333211887436958
n12_d50_s17,3,20,19,0.7058923376039665,0.6896977883423753,0.7296858948593853,0.0005823488293836336,0.00024382608598768344,0.0015673766272940955
n12_d50_s42,1,20,20,0.622342134547282,0.609375,0.6329928768234014,0.00048828125,0.00048828124999999653,0.0005726352826894995
n12_d50_s42,2,20,20,0.6346398956550092,0.6231899392545273,0.6402456027224168,0.00048828125,0.0003415687881366895,0.0009396082950217936
n12_d50_s42,3,20,20,0.6410979599222667,0.6377462877630425,0.6468896450302843,0.0013082293097534264,0.0006071395337895019,0.0025949671685649633
n12_d75_s17,1,20,20,0.7404586237578157,0.737093675997624,0.743499498889149,0.0004882812499999872,0.00018923761176932598,0.0007123943000379644
n12_d75_s17,2,20,20,0.7431321921073258,0.741151327597341,0.7500861097526567,0.0005284446948117221,0.00021714442208351075,0.0010835394651602412
n12_d75_s17,3,20,19,0.749021747802477,0.742879185016108,0.8461298953983126,0.0013147557447408952,0.0004882812500000002,0.006636514897213491
n12_d75_s42,1,20,20,0.7172524990054305,0.711428571428572,0.7203739802182211,0.00048828125,0.0002571836265744813,0.0005924114547825501
n12_d75_s42,2,20,20,0.7167506376758712,0.7114285714285714,0.7202787992100541,0.00048828125,0.00027875956230711835,0.0009901670215854723
n12_d75_s42,3,20,20,0.7199857735166166,0.7189317481985333,0.7233538666311975,0.0007566355614125502,0.00046273038628623413,0.0025524578243022386
n8_d25_s17,1,20,20,0.6617716508960597,0.6409475373055171,0.6858529228253951,0.03185989413432775,0.013951806220290762,0.03593434483022268
n8_d25_s17,2,20,20,0.6914702164875812,0.5,0.7301165670357788,0.02733638166295139,0.0078125,0.05764256026611501
n8_d25_s17,3,20,20,0.7652172919081479,0.6658089870126567,0.7971387607674231,0.057098190198225804,0.0078125,0.12143442949720623
n8_d25_s42,1,20,20,0.6550789642231494,0.6129032258064516,0.7792549120560478,0.03125,0.03125,0.09046355813412273
n8_d25_s42,2,20,20,0.8326325755091579,0.779770833449527,0.8655206242946822,0.061182184934451295,0.031249999999999993,0.18036518235473414
n8_d25_s42,3,20,20,0.905758662925469,0.8857227701353595,0.9258583747589628,0.2247517093142526,0.11363988007527895,0.34689461757885315
n8_d50_s17,1,20,20,0.7131967838510611,0.6666666666666666,0.7303565845790335,0.015625,0.011901663602542372,0.016273089677910753
n8_d50_s17,2,20,20,0.7673907033638763,0.7171283086836726,0.7782722094514473,0.024810166543314416,0.015625,0.040994230025170386
n8_d50_s17,3,20,20,0.7845274851221986,0.7054927013754544,0.8059529171242524,0.027519096554025946,0.015625,0.0641996257247433
n8_d50_s42,1,20,20,0.6416666666666669,0.6416666666666667,0.6799675435378508,0.015625,0.015625,0.02159809825843924
n8_d50_s42,2,20,20,0.6416666666666667,0.6416666666666667,0.6969160222364721,0.015625,0.015625,0.020469585528063997
n8_d50_s42,3,20,20,0.7052196148330583,0.6416666666666669,0.7203805430269011,0.015625000000000003,0.015141545764599829,0.0273944912809626
n8_d75_s17,1,20,20,0.6904281146510713,0.6611111111111111,0.705772497196127,0.0078125,0.0025183264375897994,0.009605128155373024
n8_d75_s17,2,20,20,0.7030487646044474,0.6744147376510026,0.7174770329392001,0.007617508807761313,0.002888365648317574,0.009605128670722381
n8_d75_s17,3,20,20,0.719634836716842,0.7097379366237164,0.7286494792231542,0.00945826122931058,0.007728767046893537,0.03462539367469881
n8_d75_s42,1,20,20,0.6816061433369437,0.6684782608695652,0.6971573062380563,0.0078125,0.006173239828799085,0.036313447603207545
n8_d75_s42,2,20,20,0.7087185058512443,0.6809180718019633,0.8081414212430549,0.03959876866750402,0.0078125,0.043490164221503355
n8_d75_s42,3,20,20,0.7082281446411811,0.6684782608695652,0.7232611918717318,0.010582734014105793,0.0078125,0.026566141150548683
