instance_id,n,density_target,seed,target_ratio,threshold,marked_count,rho_tau,eps_model,oracle_cost_norm,diffusion_cost_norm,prep_cost_norm,k_star_resource_eff,p_target_eff,expected_repetitions,score,normalized_cost,normalized_resource_per_target_hit,depth_model,eta_res
n12_d25_s42,12,0.25,42,0.95,59,10,0.00244140625,0.001,2.0,1.0,1.0,9,0.48254839397454774,2.072331008634018,0.017233871213376706,28.0,58.02526824175251,300.0,0.1374764706986397
n12_d25_s42,12,0.25,42,0.95,59,10,0.00244140625,0.001,4.0,1.0,1.0,9,0.48254839397454774,2.072331008634018,0.01049018247770756,46.0,95.32722639716482,300.0,0.2258542018620509
n12_d25_s42,12,0.25,42,0.95,59,10,0.00244140625,0.001,8.0,1.0,1.0,9,0.48254839397454774,2.072331008634018,0.005884736511884729,82.0,169.93114270798947,300.0,0.4026096641888734
n12_d25_s42,12,0.25,42,0.95,59,10,0.00244140625,0.002,1.0,1.0,1.0,8,0.323316663929705,3.092942961385431,0.019018627289982645,17.0,52.58003034355233,270.0,0.12089357361411429
n12_d25_s42,12,0.25,42,0.95,59,10,0.00244140625,0.002,2.0,1.0,1.0,8,0.323316663929705,3.092942961385431,0.012932666557188199,25.0,77.32357403463578,270.0,0.17778466707957985
n12_d25_s42,12,0.25,42,0.95,59,10,0.00244140625,0.002,4.0,1.0,1.0,8,0.323316663929705,3.092942961385431,0.007885772290968414,41.0,126.81066141680269,270.0,0.29156685401051097
n12_d25_s42,12,0.25,42,0.95,59,10,0.00244140625,0.002,8.0,1.0,1.0,8,0.323316663929705,3.092942961385431,0.004428995396297329,73.0,225.78483618113648,270.0,0.5191312278723732
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.0,1.0,1.0,1.0,26,0.8486721595721104,1.1783113051619216,0.016012682256077555,53.0,62.450499173581846,810.0,0.030493407799600518
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.0,2.0,1.0,1.0,26,0.8486721595721104,1.1783113051619216,0.010742685564203928,79.0,93.08659310779181,810.0,0.04545243804091398
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.0,4.0,1.0,1.0,26,0.8486721595721104,1.1783113051619216,0.006478413431848171,131.0,154.35878097621173,810.0,0.0753704985235409
