instance_id,n,target_ratio,threshold,marked_count,rho_tau,eps_model,oracle_cost_norm,k_star,p_target_eff,normalized_cost,normalized_resource_per_target_hit,eta_res
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,0.7711054127039704,3,0.7270426255831409,6.313316238111911,8.683557216536201,0.2574822120951769
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,0.9576032806985736,3,0.7270426255831409,6.87280984209572,9.4531043989109,0.28030059238431915
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,1.189207115002721,3,0.7270426255831409,7.567621345008162,10.40877257910206,0.308637776205254
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,1.4768261459394993,2,0.5146373861643916,5.953652291878999,11.568635415805591,0.3430296782189473
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,1.8340080864093424,2,0.5146373861643916,6.668016172818685,12.956727109383982,0.38418895326499486
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,2.2775772695133836,2,0.5146373861643916,7.555154539026767,14.680539622928618,0.4353029205202102
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,2.8284271247461903,2,0.5146373861643916,8.65685424949238,16.82126965942405,0.49877920006216747
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,3.5125043207466,2,0.5146373861643916,10.0250086414932,19.47975197878627,0.5776077136927078
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,4.362030930661032,2,0.5146373861643916,11.724061861322063,22.781209015345464,0.6755015191589351
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,5.41702218774757,2,0.5146373861643916,13.83404437549514,26.88114922742147,0.7970717062307713
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,6.727171322029715,2,0.5146373861643916,16.45434264405943,31.972692008822282,0.948044592761166
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,8.35419025941931,0,0.029651697532993796,1.0,33.72488198651319,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,10.374716437208077,0,0.029651697532993796,1.0,33.72488198651319,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,12.883922655594034,0,0.029651697532993796,1.0,33.72488198651319,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.00175,16.0,0,0.029651697532993796,1.0,33.72488198651319,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.002,0.5,3,0.7055552686965395,5.5,7.7952787598919615,0.22941615829590173
n8_d25_s17,8,0.9,36,8,0.03125,0.002,0.620928906036742,3,0.7055552686965395,5.862786718110226,8.309464868629336,0.2445487283231065
n8_d25_s17,8,0.9,36,8,0.03125,0.002,0.7711054127039704,3,0.7055552686965395,6.313316238111911,8.948010904624509,0.2633412286281398
n8_d25_s17,8,0.9,36,8,0.03125,0.002,0.9576032806985736,3,0.7055552686965395,6.87280984209572,9.740994287793672,0.28667884194033877
n8_d25_s17,8,0.9,36,8,0.03125,0.002,1.189207115002721,2,0.5031873410281786,5.378414230005442,10.688691450415977,0.31456970370084225
n8_d25_s17,8,0.9,36,8,0.03125,0.002,1.4768261459394993,2,0.5031873410281786,5.953652291878999,11.831880109928267,0.34821390791097956
n8_d25_s17,8,0.9,36,8,0.03125,0.002,1.8340080864093424,2,0.5031873410281786,6.668016172818685,13.251557877417419,0.3899952257403342
n8_d25_s17,8,0.9,36,8,0.03125,0.002,2.2775772695133836,2,0.5031873410281786,7.555154539026767,15.014595803600862,0.44188168168544334
n8_d25_s17,8,0.9,36,8,0.03125,0.002,2.8284271247461903,2,0.5031873410281786,8.65685424949238,17.204038225213605,0.5063172823416837
n8_d25_s17,8,0.9,36,8,0.03125,0.002,3.5125043207466,2,0.5031873410281786,10.0250086414932,19.923014400578484,0.5863371363922835
n8_d25_s17,8,0.9,36,8,0.03125,0.002,4.362030930661032,2,0.5031873410281786,11.724061861322063,23.299596204797037,0.6857104172660006
n8_d25_s17,8,0.9,36,8,0.03125,0.002,5.41702218774757,2,0.5031873410281786,13.83404437549514,27.492830696471017,0.8091179024303984
n8_d25_s17,8,0.9,36,8,0.03125,0.002,6.727171322029715,2,0.5031873410281786,16.45434264405943,32.70023170781234,0.9623724519501486
n8_d25_s17,8,0.9,36,8,0.03125,0.002,8.35419025941931,0,0.02943014167450778,1.0,33.9787694894515,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.002,10.374716437208077,0,0.02943014167450778,1.0,33.9787694894515,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.002,12.883922655594034,0,0.02943014167450778,1.0,33.9787694894515,1.0
