instance_id,p,runs,converged,approx_ratio_median,approx_ratio_q1,approx_ratio_q3,p_opt_exact_median,p_opt_exact_q1,p_opt_exact_q3
n8_d25_s17,2,5,5,0.697971811300658,0.6726526020997442,0.6998642697114631,0.01732419351637639,0.0078125,0.060065000251662455
n8_d25_s17,3,5,5,0.7742451253334416,0.7711373802979911,0.8485963032268543,0.08315384538547037,0.04927684656125811,0.08998427594912874
n8_d25_s42,1,5,5,0.6129032258064516,0.6129032258064516,0.6972547026398465,0.03125,0.02124560534054305,0.03125
n8_d25_s42,2,5,5,0.8421333615624159,0.7676516223013364,0.8667378671429349,0.03125,0.007045266559972773,0.034727849146767534
n8_d25_s42,3,5,5,0.8669676597831605,0.8430317228883694,0.9212229285217212,0.22867203708511566,0.040298924943655626,0.3191782516253079
n8_d50_s17,1,5,5,0.7267656145430836,0.726765614543081,0.7286848446510361,0.0182173706562904,0.01821736217740551,0.024937349765165526
n8_d50_s17,2,5,5,0.7680484347552491,0.7064366337721384,0.817994691909502,0.03646329931248719,0.023366629368445652,0.07951610871110634
n8_d50_s17,3,5,5,0.6921252028539574,0.6666666666666666,0.7622535842308691,0.015625,0.015625,0.03147474721626113
n8_d50_s42,1,5,5,0.6416666666666667,0.6416666666666667,0.6737741339526302,0.015625,0.015625,0.015625
n8_d50_s42,2,5,5,0.7336742243343993,0.666428482038027,0.7372907995418353,0.032162261428711314,0.02373772207973065,0.07440300764086479
n8_d50_s42,3,5,5,0.6416666666666667,0.6416666666666667,0.6496958657542862,0.015625,0.015625,0.01698098563508364
n8_d75_s17,1,5,5,0.6998839618207411,0.6929360123903012,0.7049120104836561,0.011942299138252994,0.011596061357219408,0.01498301234286644
n8_d75_s17,2,5,5,0.7211847448301583,0.7186187773642264,0.7226348622217854,0.007812499999999998,0.0058759418839714386,0.017476406653805104
n8_d75_s17,3,5,5,0.7066630208624342,0.6611111111111111,0.7155810208788719,0.0078125,0.0052339649065560635,0.0078125
n8_d75_s42,1,5,5,0.6684782608695652,0.6684782608695652,0.6684782608695652,0.0078125,0.0078125,0.0078125
n8_d75_s42,2,5,5,0.6926978120942012,0.6849428065228984,0.7105753071683063,0.014971103862677766,0.01372861259770278,0.018397251781565885
n8_d75_s42,3,5,5,0.7119301752824678,0.6960907938860508,0.7126480553845813,0.007812499999999993,0.0064987700617342254,0.042961669699786584
